Country Name,Country Code,Indicator Name,Indicator Code,y2010
Middle East & North Africa (all income levels),MEA,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.48722264
Middle East & North Africa (developing only),MNA,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.00079337
Middle income,MIC,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.07979478
Moldova,MDA,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.90370732
Monaco,MCO,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Mongolia,MNG,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.19497561
Montenegro,MNE,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.31109756
Morocco,MAR,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.86463415
Mozambique,MOZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,49.69692683
Myanmar,MMR,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.66209756
Namibia,NAM,Life expectancy at birth total (years),SP.DYN.LE00.IN,62.07009756
Nepal,NPL,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.39482927
Netherlands,NLD,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.70243902
New Caledonia,NCL,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.30168293
New Zealand,NZL,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.70243902
Nicaragua,NIC,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.72921951
Niger,NER,Life expectancy at birth total (years),SP.DYN.LE00.IN,54.26563415
Nigeria,NGA,Life expectancy at birth total (years),SP.DYN.LE00.IN,51.41002439
North America,NAC,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.49559803
Northern Mariana Islands,MNP,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Norway,NOR,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.99756098
Not classified,INX,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
OECD members,OED,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.32469727
Oman,OMN,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.12460976
Other small states,OSS,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.53292464
Pacific island small states,PSS,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.34935897
Pakistan,PAK,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.19885366
Palau,PLW,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Panama,PAN,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.9742439
Papua New Guinea,PNG,Life expectancy at birth total (years),SP.DYN.LE00.IN,62.44060976
Paraguay,PRY,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.277
Peru,PER,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.76497561
Philippines,PHL,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.48431707
Poland,POL,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.24634146
Portugal,PRT,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.02682927
Puerto Rico,PRI,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.91329268
Qatar,QAT,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.09758537
Romania,ROM,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.45853659
Russian Federation,RUS,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.80487805
Rwanda,RWA,Life expectancy at birth total (years),SP.DYN.LE00.IN,55.05712195
Samoa,WSM,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.30639024
San Marino,SMR,Life expectancy at birth total (years),SP.DYN.LE00.IN,83.15937916
Sao Tome and Principe,STP,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.34929268
Saudi Arabia,SAU,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.85041463
Senegal,SEN,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.95407317
Serbia,SRB,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.93658537
Seychelles,SYC,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.03414634
Sierra Leone,SLE,Life expectancy at birth total (years),SP.DYN.LE00.IN,47.40219512
Singapore,SGP,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.64146341
Sint Maarten (Dutch part),SXM,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Slovak Republic,SVK,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.11219512
Slovenia,SVN,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.42195122
Small states,SST,Life expectancy at birth total (years),SP.DYN.LE00.IN,62.54562108
Solomon Islands,SLB,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.46519512
Somalia,SOM,Life expectancy at birth total (years),SP.DYN.LE00.IN,50.89553659
South Africa,ZAF,Life expectancy at birth total (years),SP.DYN.LE00.IN,52.0814878
South Asia,SAS,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.28692372
South Sudan,SSD,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Spain,ESP,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.62682927
Sri Lanka,LKA,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.72260976
St. Kitts and Nevis,KNA,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
St. Lucia,LCA,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.43990244
St. Martin (French part),MAF,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
St. Vincent and the Grenadines,VCT,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.11253659
Sub-Saharan Africa (all income levels),SSF,Life expectancy at birth total (years),SP.DYN.LE00.IN,54.16265064
Sub-Saharan Africa (developing only),SSA,Life expectancy at birth total (years),SP.DYN.LE00.IN,54.16540964
Sudan,SDN,Life expectancy at birth total (years),SP.DYN.LE00.IN,61.1082439
Suriname,SUR,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.33531707
Swaziland,SWZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,48.34280488
Sweden,SWE,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.45121951
Switzerland,CHE,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.24634146
Syrian Arab Republic,SYR,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.70256098
Tajikistan,TJK,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.25990244
Tanzania,TZA,Life expectancy at birth total (years),SP.DYN.LE00.IN,57.3874878
Thailand,THA,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.92765854
Timor-Leste,TMP,Life expectancy at birth total (years),SP.DYN.LE00.IN,61.99985366
Togo,TGO,Life expectancy at birth total (years),SP.DYN.LE00.IN,56.58870732
Tonga,TON,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.15065854
Trinidad and Tobago,TTO,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.755
Tunisia,TUN,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.6
Turkey,TUR,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.69665854
Turkmenistan,TKM,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.8635122
Turks and Caicos Islands,TCA,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Tuvalu,TUV,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Uganda,UGA,Life expectancy at birth total (years),SP.DYN.LE00.IN,53.61463415
Ukraine,UKR,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.27560976
United Arab Emirates,ARE,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.57360976
United Kingdom,GBR,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.40243902
United States,USA,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.24146341
Upper middle income,UMC,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.63945932
Uruguay,URY,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.23682927
Uzbekistan,UZB,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.001
Vanuatu,VUT,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.8194878
Venezuela RB,VEN,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.12731707
Vietnam,VNM,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.8282439
Virgin Islands (U.S.),VIR,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.18943902
West Bank and Gaza,WBG,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.64368293
World,WLD,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.639885
Yemen Rep.,YEM,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.03046341
Zambia,ZMB,Life expectancy at birth total (years),SP.DYN.LE00.IN,48.4554878
Zimbabwe,ZWE,Life expectancy at birth total (years),SP.DYN.LE00.IN,49.86087805
